Id,COUNTA of ActivityDate,AVERAGE of Calories,AVERAGE of TotalSteps,AVERAGE of TotalDistance,AVERAGE of VeryActiveDistance,AVERAGE of ModeratelyActiveDistance,AVERAGE of LightActiveDistance
8792009665,29,1982.032258,8304.433333,2.862500012,8.514838742,0.7941935404,4.152903241
1624580081,31,1875.677419,11323.42308,0.6345161232,6.637419362,0.360645162,2.60677418
8053475328,31,1573.483871,8717.709677,4.707000041,3.113666656,0.9510000019,3.609000021
1844505072,31,2965.548387,916.1290323,13.21290314,2.858387113,0.04903225645,1.647419338
4445114986,31,1916.967742,9794.806452,3.187741904,2.781290325,0.03129032297,0.5070967687
7007744171,26,2945.806452,11370.64516,1.706129037,2.503548402,0.7200000031,4.942580638
8583815059,31,1483.354839,16040.03226,7.809677386,2.421612884,0.01129032239,3.43612904
1503960366,31,3359.633333,7282.966667,3.24580644,2.414999987,0.09774193455,2.980322567
2347167796,18,1962.310345,5649.551724,1.813461516,2.21421049,1.074999991,4.221666708
4702921684,31,1724.16129,6482.157895,5.342142914,1.719354835,0.2761290324,4.143548414
7086361926,31,2172.806452,10813.93548,3.454838715,1.616451619,0.1529999985,3.909999967
3977333714,30,2599.62069,9519.666667,6.355555536,1.614999982,2.750999979,3.134333344
4558609924,31,2043.444444,7685.129032,4.892258047,1.464193549,0.1296774168,1.308387082
4388161847,31,1933.1,2519.692308,6.913548462,1.059444433,0.0649999975,2.6875
5577150313,30,2261.142857,3838,11.4751612,0.9393548428,0.5022580647,3.768709638
2320127002,31,2037.677419,8572.064516,1.626129039,0.7980645258,0.9019354778,5.396129047
6117666160,28,2566.354839,7555.774194,8.393225893,0.7300000009,0.07548387032,2.64483871
6775888955,26,1788,14763.29032,3.91483873,0.7092307667,0.6822580662,3.847741946
8378563200,31,2811.3,5566.870968,6.585806478,0.6761290309,1.304838709,5.225483921
8253242879,19,2732.032258,4716.870968,6.388064508,0.6294999973,0.6690322632,3.504516096
8877689391,31,1816.419355,9371.774194,5.10161286,0.549354839,0.6580000048,2.427999989
3372868164,20,3436.580645,12116.74194,5.295333354,0.523225811,0.08392857229,4.843214299
2022484408,31,2186.193548,7268.83871,5.080645177,0.4174193547,0.128275863,4.048620709
4020332650,31,2385.806452,2267.225806,5.615483822,0.2780645162,0.3842307696,0.7115384658
6290855005,29,2544,6861.65,6.213333305,0.142258061,0.9599999935,4.001612925
2026352035,31,3093.870968,2580.064516,4.667368468,0.1282142848,0.73846153,4.861538447
5553957443,31,1540.645161,7198.516129,6.955161283,0.106774193,0.7732258047,2.818709662
1644430081,30,2131.769231,4796.548387,8.015384591,0.09580645084,0.4238709647,2.533870955
4057192912,4,3420.258065,5743.903226,4.272413805,0.08551724203,0.6957894768,1.754736845
2873212765,31,1973.75,7046.714286,5.63967745,0.05249999825,0.5190322548,3.889354821
4319703577,31,1513.666667,1853.724138,1.186551717,0.02482758655,1.020645153,2.617419347
6962181067,31,2509.967742,10984.56667,8.084193491,0.00838709671,0.05827586262,1.103448271
1927972279,31,2033.258065,8612.580645,7.516999944,0.006129032194,0.3377419348,6.188709674